temp_C,time_min,mass_loss
37.631,0.75333,-2.73E-02
37.653,0.755,-2.74E-02
37.673,0.75667,-2.74E-02
37.693,0.75833,-2.78E-02
37.715,0.76,-2.78E-02
37.734,0.76167,-2.80E-02
37.755,0.76333,-2.80E-02
37.778,0.765,-2.83E-02
37.798,0.76667,-2.83E-02
37.817,0.76833,-2.85E-02
37.837,0.77,-2.85E-02
37.858,0.77167,-2.87E-02
37.878,0.77333,-2.87E-02
37.901,0.775,-2.89E-02
37.922,0.77667,-2.90E-02
37.945,0.77833,-2.92E-02
37.968,0.78,-2.92E-02
37.987,0.78167,-2.95E-02
38.007,0.78333,-2.95E-02
38.026,0.785,-2.97E-02
38.047,0.78667,-2.97E-02
38.069,0.78833,-3.01E-02
38.089,0.79,-3.01E-02
38.109,0.79167,-3.01E-02
38.13,0.79333,-3.03E-02
38.149,0.795,-3.04E-02
38.17,0.79667,-3.04E-02
38.19,0.79833,-3.07E-02
38.21,0.8,-3.07E-02
38.234,0.80167,-3.10E-02
38.256,0.80333,-3.10E-02
38.277,0.805,-3.13E-02
38.296,0.80667,-3.13E-02
38.317,0.80833,-3.15E-02
38.338,0.81,-3.15E-02
38.36,0.81167,-3.19E-02
38.382,0.81333,-3.19E-02
38.402,0.815,-3.20E-02
38.422,0.81667,-3.20E-02
38.444,0.81833,-3.23E-02
38.465,0.82,-3.23E-02
38.486,0.82167,-3.25E-02
38.507,0.82333,-3.26E-02
38.529,0.825,-3.29E-02
38.55,0.82667,-3.29E-02
38.571,0.82833,-3.30E-02
38.59,0.83,-3.30E-02
38.611,0.83167,-3.32E-02
38.633,0.83333,-3.32E-02
38.653,0.835,-3.34E-02
38.675,0.83667,-3.35E-02
38.697,0.83833,-3.37E-02
38.721,0.84,-3.37E-02
38.742,0.84167,-3.40E-02
38.762,0.84333,-3.40E-02
38.783,0.845,-3.42E-02
38.805,0.84667,-3.42E-02
38.827,0.84833,-3.44E-02
38.848,0.85,-3.44E-02
38.869,0.85167,-3.46E-02
38.889,0.85333,-3.46E-02
38.91,0.855,-3.48E-02
38.93,0.85667,-3.48E-02
38.952,0.85833,-3.51E-02
38.973,0.86,-3.51E-02
38.996,0.86167,-3.54E-02
39.017,0.86333,-3.54E-02
39.037,0.865,-3.55E-02
39.059,0.86667,-3.55E-02
39.08,0.86833,-3.58E-02
39.103,0.87,-3.58E-02
39.124,0.87167,-3.60E-02
39.146,0.87333,-3.61E-02
39.167,0.875,-3.63E-02
39.187,0.87667,-3.63E-02
39.21,0.87833,-3.66E-02
39.229,0.88,-3.66E-02
39.249,0.88167,-3.69E-02
39.27,0.88333,-3.69E-02
39.295,0.885,-3.71E-02
39.313,0.88667,-3.71E-02
39.333,0.88833,-3.73E-02
39.358,0.89,-3.73E-02
39.379,0.89167,-3.76E-02
39.399,0.89333,-3.76E-02
39.42,0.895,-3.79E-02
39.444,0.89667,-3.79E-02
39.464,0.89833,-3.81E-02
39.484,0.9,-3.81E-02
39.505,0.90167,-3.84E-02
39.526,0.90333,-3.84E-02
39.549,0.905,-3.86E-02
39.57,0.90667,-3.86E-02
39.593,0.90833,-3.90E-02
39.613,0.91,-3.90E-02
39.635,0.91167,-3.92E-02
39.657,0.91333,-3.92E-02
39.68,0.915,-3.93E-02
39.701,0.91667,-3.93E-02
39.722,0.91833,-3.96E-02
39.742,0.92,-3.96E-02
39.763,0.92167,-3.98E-02
39.785,0.92333,-3.98E-02
39.803,0.925,-4.01E-02
39.825,0.92667,-4.01E-02
39.849,0.92833,-4.03E-02
39.869,0.93,-4.03E-02
39.889,0.93167,-4.07E-02
39.909,0.93333,-4.07E-02
39.929,0.935,-4.08E-02
39.951,0.93667,-4.08E-02
39.973,0.93833,-4.12E-02
39.996,0.94,-4.12E-02
40.018,0.94167,-4.14E-02
40.04,0.94333,-4.14E-02
40.06,0.945,-4.17E-02
40.081,0.94667,-4.17E-02
40.104,0.94833,-4.20E-02
