#EXPORTTYPE:,DATA ALL,,,,
#FILE:,Program 3 Mixchar2 - Buk.ngb-ss5,,,,
#FORMAT:,NETZSCH5,,,,
#FTYPE:,UNICODE,,,,
#IDENTITY:,Program 3 Mixchar2 - B,,,,
#MTYPE:,TG,,,,
#INSTRUMENT:,NETZSCH STA 449F5,,,,
#PROJECT:,,,,,
#DATE/TIME:,17. 9. 2025 12:22:28 (UTC+2),,,,
#CORR. FILE:,,,,,
#TEMPCAL:,15/11/2022 7:48,,,,
#SENSITIVITY:,6/12/2022 14:50,,,,
#LABORATORY:,MTF STU,,,,
#OPERATOR:,td,,,,
#REMARK:,,,,,
#SAMPLE:,Program 3 Mixchar2 - B,,,,
#SAMPLE MASS /mg:,10.6531,,,,
#MATERIAL:,wood,,,,
#REFERENCE:,Empty Al2O3,,,,
#REFERENCE MASS /mg:,0,,,,
#TYPE OF CRUCIBLE:,"Al2O3 85 µl, open",,,,
#SAMPLE CRUCIBLE MASS /mg:,142.9,,,,
#REFERENCE CRUCIBLE MASS /mg:,147,,,,
#PURGE 1 MFC:,"OXYGEN,252,5 ml/min",,,,
#PURGE 2 MFC:,"NITROGEN,250,0 ml/min",,,,
#PROTECTIVE MFC:,"NITROGEN,250,0 ml/min",,,,
#DSC RANGE /µV:,5000,,,,
#TG RANGE /mg:,35000,,,,
#TAU-R:,---,,,,
#CORR. CODE:,0,,,,
#EXO:,1,,,,
#RANGE:,35°C....815°C/-10.0....10.0K/min,,,,
#SEGMENT:,S1-6/6,,,,
#SEG. 1:,35°C/10.0(K/min)/105°C,,,,
#SEG. 2:,105°C/02:00/105°C,,,,
#SEG. 3:,105°C/10.0(K/min)/750°C,,,,
#SEG. 4:,750°C/10.0(K/min)/600°C,,,,
#SEG. 5:,600°C/3.6(K/min)/815°C,,,,
#SEG. 6:,815°C/02:00/815°C,,,,
,,,,,
temp,time,mass_loss,dtg,sensitivity,stage
805.3346,263.75,-10.4579,-1.08E-04,0.51814,5
806.24437,264,-10.46024,-3.08E-04,0.51786,5
807.14754,264.25,-10.45891,-2.58E-04,0.51758,5
808.05163,264.5,-10.45993,-1.34E-04,0.51729,5
808.94443,264.75,-10.4599,-8.27E-06,0.51702,5
809.854,265,-10.45892,1.286399E-4,0.51673,5
810.7425,265.25,-10.46026,3.303585E-4,0.51646,5
811.65695,265.5,-10.45892,5.468803E-4,0.51618,5
812.5529,265.75,-10.45824,8.013161E-4,0.5159,5
813.44513,266,-10.4596,1.250794E-3,0.51562,5
814.354,266.25,-10.45824,-2.58E-02,0.51534,6
814.66498,266.5,-10.45857,-3.65E-03,0.51525,6
814.62201,266.75,-10.45993,-1.51E-03,0.51526,6
814.60901,267,-10.45756,-9.53E-04,0.51526,6
814.65002,267.25,-10.46026,-6.07E-04,0.51525,6
814.70801,267.5,-10.4579,-2.10E-04,0.51523,6
814.77399,267.75,-10.4579,-2.18E-04,0.51521,6
814.83099,268,-10.45925,-5.83E-04,0.5152,6
814.88098,268.25,-10.45926,-6.41E-04,0.51518,6
814.90997,268.5,-10.46061,-1.49E-04,0.51517,6
814.93298,268.75,-10.45993,2.809472E-4,0.51516,6
814.97302,269,-10.45959,1.717326E-5,0.51515,6
814.98999,269.25,-10.45824,-7.11E-04,0.51515,6
815.00403,269.5,-10.4596,-1.08E-03,0.51514,6
815.01703,269.75,-10.46095,-7.22E-04,0.51514,6
815.03497,270,-10.45959,-1.23E-04,0.51513,6
815.04401,270.25,-10.46027,1.979745E-4,0.51513,6
815.04999,270.5,-10.4606,1.529547E-4,0.51513,6
815.06,270.75,-10.45993,-1.55E-04,0.51513,6
815.06097,271,-10.46162,-6.05E-04,0.51513,6
815.06897,271.25,-10.46027,-9.76E-04,0.51512,6
815.06403,271.5,-10.46061,-9.22E-04,0.51512,6
815.07001,271.75,-10.46196,-3.23E-04,0.51512,6
815.06897,272,-10.46128,4.652711E-4,0.51512,6
815.06702,272.25,-10.46128,8.394220E-4,0.51512,6
815.07599,272.5,-10.46128,6.497555E-4,0.51512,6
815.07202,272.75,-10.46129,4.291377E-4,0.51512,6
815.07501,273,-10.45993,4.379373E-4,0.51512,6
815.07599,273.25,-10.45993,2.996118E-4,0.51512,6
815.06201,273.5,-10.45857,-9.72E-05,0.51512,6
815.06598,273.75,-10.45993,-3.74E-04,0.51512,6
815.078,274,-10.4596,-3.97E-04,0.51512,6
815.06702,274.25,-10.4596,-3.43E-04,0.51512,6
815.07001,274.5,-10.46095,-1.92E-04,0.51512,6
815.07098,274.75,-10.46095,1.332911E-4,0.51512,6
815.07001,275,-10.46129,3.231854E-4,0.51512,6
815.07599,275.25,-10.46027,1.571560E-4,0.51512,6
815.06403,275.5,-10.46095,6.221419E-5,0.51512,6
815.07001,275.75,-10.46162,2.654399E-4,0.51512,6
815.06,276,-10.4596,2.383976E-4,0.51513,6
815.06097,276.25,-10.4596,-2.50E-04,0.51513,6
815.06403,276.5,-10.46027,-6.74E-04,0.51512,6
815.05902,276.75,-10.46027,-6.52E-04,0.51513,6
815.05902,277,-10.46162,-4.22E-04,0.51513,6
815.04901,277.25,-10.46061,-2.80E-04,0.51513,6
815.05298,277.5,-10.46196,-1.33E-04,0.51513,6
815.05103,277.75,-10.45993,-3.70E-05,0.51513,6
815.05603,278,-10.46061,-1.67E-04,0.51513,6
815.04901,278.25,-10.46027,-2.45E-04,0.51513,6
815.05103,278.5,-10.46162,-1.72E-04,0.51513,6
815.05499,278.75,-10.46026,-4.19E-04,0.51513,6
815.04797,279,-10.46026,-1.11E-03,0.51513,6
815.05701,279.25,-10.46162,-1.58E-03,0.51513,6
815.05798,279.5,-10.46297,-1.39E-03,0.51513,6
815.04602,279.75,-10.46162,-7.97E-04,0.51513,6
815.04199,280,-10.4623,-1.18E-04,0.51513,6
815.04901,280.25,-10.46162,4.485045E-4,0.51513,6
815.04602,280.5,-10.4623,5.708027E-4,0.51513,6
815.04901,280.75,-10.46095,1.552849E-4,0.51513,6
815.03699,281,-10.46263,-3.29E-04,0.51513,6
815.03699,281.25,-10.46162,-4.61E-04,0.51513,6
815.04498,281.5,-10.46263,-3.86E-04,0.51513,6
815.03802,281.75,-10.46196,-3.71E-04,0.51513,6
815.04498,282,-10.46263,-4.48E-04,0.51513,6
815.047,282.25,-10.46263,-5.53E-04,0.51513,6
815.04901,282.5,-10.46365,-3.31E-04,0.51513,6
815.03198,282.75,-10.46466,4.016215E-4,0.51513,6
815.03003,283,-10.46331,7.738157E-4,0.51513,6
815.039,283.25,-10.4623,1.319342E-4,0.51513,6
815.039,283.5,-10.46297,-7.48E-04,0.51513,6
815.03802,283.75,-10.46365,-9.38E-04,0.51513,6
815.03003,284,-10.46365,-3.70E-04,0.51513,6
815.04303,284.25,-10.46399,3.566890E-4,0.51513,6
815.03601,284.5,-10.46264,5.335208E-4,0.51513,6
815.03003,284.75,-10.46163,8.474254E-5,0.51513,6
815.03998,285,-10.4623,-4.78E-04,0.51513,6
815.04797,285.25,-10.46297,-7.84E-04,0.51513,6
815.03699,285.5,-10.4623,-6.82E-04,0.51513,6
815.03601,285.75,-10.4623,-8.15E-05,0.51513,6
815.03998,286,-10.46331,7.073788E-4,0.51513,6
815.034,286.25,-10.46298,1.134720E-3,0.51513,6
815.03101,286.5,-10.46365,1.044079E-3,0.51513,6
815.02899,286.75,-10.46162,5.388913E-4,0.51514,6
815.03003,287,-10.46196,-1.33E-04,0.51513,6
815.034,287.25,-10.46297,-4.54E-04,0.51513,6
815.04102,287.5,-10.46229,-2.25E-04,0.51513,6
815.034,287.75,-10.4623,1.285666E-4,0.51513,6
815.04602,288,-10.46094,5.773011E-5,0.51513,6
815.03601,288.25,-10.4623,-4.28E-04,0.51513,6
815.03998,288.5,-10.46365,-7.98E-04,0.51513,6
815.03601,288.75,-10.4623,-8.08E-04,0.51513,6
815.02802,289,-10.46365,-6.00E-04,0.51514,6
815.034,289.25,-10.4623,-2.51E-04,0.51513,6
815.03198,289.5,-10.46365,9.130130E-5,0.51513,6
815.03302,289.75,-10.4623,1.733337E-4,0.51513,6
815.03003,290,-10.46365,-5.91E-05,0.51513,6
815.02899,290.25,-10.46128,-4.08E-04,0.51514,6
815.03101,290.5,-10.46365,-5.05E-04,0.51513,6
815.03101,290.75,-10.46365,-9.61E-05,0.51513,6
815.03302,291,-10.46297,7.146611E-4,0.51513,6
815.03699,291.25,-10.46297,1.374543E-3,0.51513,6
815.02502,291.5,-10.46162,1.009916E-3,0.51514,6
815.02802,291.75,-10.46128,-3.44E-04,0.51514,6
815.03101,292,-10.4623,-1.18E-03,0.51513,6
815.03101,292.25,-10.46433,-5.67E-04,0.51513,6
815.02502,292.5,-10.46264,5.257580E-4,0.51514,6
815.03699,292.75,-10.46264,9.996558E-4,0.51513,6
815.03601,293,-10.46229,8.578865E-4,0.51513,6
815.03601,293.25,-10.46331,3.169135E-4,0.51513,6
815.03998,293.5,-10.46128,-6.51E-04,0.51513,6
815.03802,293.75,-10.46264,-1.58E-03,0.51513,6
815.02502,294,-10.46399,-1.47E-03,0.51514,6
815.02802,294.25,-10.465,-2.33E-04,0.51514,6
815.02899,294.5,-10.46365,1.009698E-3,0.51514,6
815.03699,294.75,-10.46297,1.398293E-3,0.51513,6
815.02899,295,-10.46229,1.192560E-3,0.51514,6
815.03802,295.25,-10.46365,7.987403E-4,0.51513,6
815.039,295.5,-10.46196,1.632763E-4,0.51513,6
815.04199,295.75,-10.46196,-6.25E-04,0.51513,6
815.04199,296,-10.46264,-1.18E-03,0.51513,6
815.04303,296.25,-10.46332,-1.24E-03,0.51513,6
815.039,296.5,-10.46366,-8.61E-04,0.51513,6
815.04199,296.75,-10.46298,-3.64E-04,0.51513,6
815.039,297,-10.46365,7.252018E-5,0.51513,6
815.04797,297.25,-10.46331,5.428166E-4,0.51513,6
815.04797,297.5,-10.46196,8.235308E-4,0.51513,6
815.03601,297.75,-10.4623,2.871218E-4,0.51513,6
815.034,298,-10.46128,-9.52E-04,0.51513,6
815.03101,298.25,-10.46433,-1.64E-03,0.51513,6
815.02899,298.5,-10.46501,-1.00E-03,0.51514,6
815.02002,298.75,-10.46432,1.973879E-4,0.51514,6
815.02502,299,-10.46466,8.867983E-4,0.51514,6
815.02399,299.25,-10.46297,7.859762E-4,0.51514,6
815.02301,299.5,-10.46399,-3.89E-05,0.51514,6
815.02502,299.75,-10.46263,-1.29E-03,0.51514,6
815.01801,300,-10.46297,-1.91E-03,0.51514,6
815.02899,300.25,-10.46569,-1.18E-03,0.51514,6
815.03003,300.5,-10.46466,-3.93E-05,0.51513,6
815.02502,300.75,-10.46399,2.125532E-4,0.51514,6
815.03198,301,-10.46432,-2.88E-04,0.51513,6
815.026,301.25,-10.46568,-6.45E-04,0.51514,6
815.02698,301.5,-10.46467,-6.48E-04,0.51514,6
815.02197,301.75,-10.46399,-5.63E-04,0.51514,6
815.03601,302,-10.46399,-3.77E-04,0.51513,6
815.02899,302.25,-10.46602,1.635384E-4,0.51514,6
815.02698,302.5,-10.46467,8.784977E-4,0.51514,6
815.026,302.75,-10.46433,1.078762E-3,0.51514,6
815.021,303,-10.46365,5.904163E-4,0.51514,6
815.02899,303.25,-10.46365,-5.16E-05,0.51514,6
